Date,Area,GEN,AGG,CNT
202002,서울 서초구,1,3,194
202002,서울 서초구,1,4,110
202002,서울 서초구,1,5,75
202002,서울 서초구,2,0,98
202002,서울 서초구,2,1,84
202002,서울 서초구,2,2,53
202002,서울 서초구,2,3,264
202002,서울 서초구,2,4,129
202002,서울 서초구,2,5,74
202002,서울 강남구,1,0,115
202002,서울 강남구,1,1,82
202002,서울 강남구,1,2,66
202002,서울 강남구,1,3,222
202002,서울 강남구,1,4,106
202002,서울 강남구,1,5,78
202002,서울 강남구,2,0,101
202002,서울 강남구,2,1,101
202002,서울 강남구,2,2,52
202002,서울 강남구,2,3,323
202002,서울 강남구,2,4,136
202002,서울 강남구,2,5,70
202002,서울 송파구,1,0,218
202002,서울 송파구,1,1,120
202002,서울 송파구,1,2,62
202002,서울 송파구,1,3,320
202002,서울 송파구,1,4,121
202002,서울 송파구,1,5,114
202002,서울 송파구,2,0,168
202002,서울 송파구,2,1,107
202002,서울 송파구,2,2,74
202002,서울 송파구,2,3,458
202002,서울 송파구,2,4,181
202002,서울 송파구,2,5,90
202002,서울 강동구,1,0,136
202002,서울 강동구,1,1,112
202002,서울 강동구,1,2,79
202002,서울 강동구,1,3,196
202002,서울 강동구,1,4,124
202002,서울 강동구,1,5,85
202002,서울 강동구,2,0,138
202002,서울 강동구,2,1,94
202002,서울 강동구,2,2,61
202002,서울 강동구,2,3,299
202002,서울 강동구,2,4,150
202002,서울 강동구,2,5,60
202003,서울 종로구,1,0,31
202003,서울 종로구,1,1,20
202003,서울 종로구,1,2,7
202003,서울 종로구,1,3,55
202003,서울 종로구,1,4,16
202003,서울 종로구,1,5,23
202003,서울 종로구,2,0,24
202003,서울 종로구,2,1,17
202003,서울 종로구,2,2,11
202003,서울 종로구,2,3,85
202003,서울 종로구,2,4,26
202003,서울 종로구,2,5,20
202003,서울 중구,1,0,25
202003,서울 중구,1,1,14
202003,서울 중구,1,2,5
202003,서울 중구,1,3,45
202003,서울 중구,1,4,22
202003,서울 중구,1,5,15
202003,서울 중구,2,0,39
202003,서울 중구,2,1,13
202003,서울 중구,2,2,6
202003,서울 중구,2,3,63
202003,서울 중구,2,4,24
202003,서울 중구,2,5,21
202003,서울 용산구,1,0,42
202003,서울 용산구,1,1,21
202003,서울 용산구,1,2,16
202003,서울 용산구,1,3,105
202003,서울 용산구,1,4,49
202003,서울 용산구,1,5,33
202003,서울 용산구,2,0,39
202003,서울 용산구,2,1,23
202003,서울 용산구,2,2,10
202003,서울 용산구,2,3,116
202003,서울 용산구,2,4,63
202003,서울 용산구,2,5,46
202003,서울 성동구,1,0,133
202003,서울 성동구,1,1,39
202003,서울 성동구,1,2,24
202003,서울 성동구,1,3,123
202003,서울 성동구,1,4,56
202003,서울 성동구,1,5,36
202003,서울 성동구,2,0,102
202003,서울 성동구,2,1,55
202003,서울 성동구,2,2,19
202003,서울 성동구,2,3,203
202003,서울 성동구,2,4,65
202003,서울 성동구,2,5,38
202003,서울 광진구,1,0,89
202003,서울 광진구,1,1,59
202003,서울 광진구,1,2,35
202003,서울 광진구,1,3,142
202003,서울 광진구,1,4,69
202003,서울 광진구,1,5,58
202003,서울 광진구,2,0,88
202003,서울 광진구,2,1,46
202003,서울 광진구,2,2,38
202003,서울 광진구,2,3,196
202003,서울 광진구,2,4,82
202003,서울 광진구,2,5,46
202003,서울 동대문구,1,0,81
202003,서울 동대문구,1,1,35
202003,서울 동대문구,1,2,35
202003,서울 동대문구,1,3,139
202003,서울 동대문구,1,4,66
202003,서울 동대문구,1,5,68
202003,서울 동대문구,2,0,83
202003,서울 동대문구,2,1,43
202003,서울 동대문구,2,2,35
202003,서울 동대문구,2,3,217
202003,서울 동대문구,2,4,94
202003,서울 동대문구,2,5,48
202003,서울 중랑구,1,0,96
202003,서울 중랑구,1,1,46
202003,서울 중랑구,1,2,32
202003,서울 중랑구,1,3,120
202003,서울 중랑구,1,4,42
202003,서울 중랑구,1,5,57
202003,서울 중랑구,2,0,102
202003,서울 중랑구,2,1,48
202003,서울 중랑구,2,2,35
202003,서울 중랑구,2,3,183
202003,서울 중랑구,2,4,68
202003,서울 중랑구,2,5,42
202003,서울 성북구,1,0,121
202003,서울 성북구,1,1,83
202003,서울 성북구,1,2,46
202003,서울 성북구,1,3,147
202003,서울 성북구,1,4,68
202003,서울 성북구,1,5,69
202003,서울 성북구,2,0,115
202003,서울 성북구,2,1,88
202003,서울 성북구,2,2,46
202003,서울 성북구,2,3,215
202003,서울 성북구,2,4,78
202003,서울 성북구,2,5,57
202003,서울 강북구,1,0,74
202003,서울 강북구,1,1,54
202003,서울 강북구,1,2,39
202003,서울 강북구,1,3,95
202003,서울 강북구,1,4,62
202003,서울 강북구,1,5,65
202003,서울 강북구,2,0,52
202003,서울 강북구,2,1,40
202003,서울 강북구,2,2,28
202003,서울 강북구,2,3,171
202003,서울 강북구,2,4,78
202003,서울 강북구,2,5,51
202003,서울 도봉구,1,0,81
202003,서울 도봉구,1,1,49
202003,서울 도봉구,1,2,25
202003,서울 도봉구,1,3,106
202003,서울 도봉구,1,4,53
202003,서울 도봉구,1,5,48
202003,서울 도봉구,2,0,63
202003,서울 도봉구,2,1,29
202003,서울 도봉구,2,2,26
202003,서울 도봉구,2,3,113
202003,서울 도봉구,2,4,62
202003,서울 도봉구,2,5,28
202003,서울 노원구,1,0,149
202003,서울 노원구,1,1,83
202003,서울 노원구,1,2,37
202003,서울 노원구,1,3,158
202003,서울 노원구,1,4,88
202003,서울 노원구,1,5,89
202003,서울 노원구,2,0,109
202003,서울 노원구,2,1,73
202003,서울 노원구,2,2,55
202003,서울 노원구,2,3,197
202003,서울 노원구,2,4,137
202003,서울 노원구,2,5,71
202003,서울 은평구,1,0,140
202003,서울 은평구,1,1,82
202003,서울 은평구,1,2,63
202003,서울 은평구,1,3,260
202003,서울 은평구,1,4,135
202003,서울 은평구,1,5,123
202003,서울 은평구,2,0,109
202003,서울 은평구,2,1,77
202003,서울 은평구,2,2,61
202003,서울 은평구,2,3,344
202003,서울 은평구,2,4,184
202003,서울 은평구,2,5,128
202003,서울 서대문구,1,0,104
202003,서울 서대문구,1,1,55
202003,서울 서대문구,1,2,44
202003,서울 서대문구,1,3,145
202003,서울 서대문구,1,4,69
202003,서울 서대문구,1,5,85
202003,서울 서대문구,2,0,89
202003,서울 서대문구,2,1,51
202003,서울 서대문구,2,2,37
202003,서울 서대문구,2,3,210
202003,서울 서대문구,2,4,114
202003,서울 서대문구,2,5,67
202003,서울 마포구,1,0,101
202003,서울 마포구,1,1,42
202003,서울 마포구,1,2,25
202003,서울 마포구,1,3,195
202003,서울 마포구,1,4,79
202003,서울 마포구,1,5,43
202003,서울 마포구,2,0,97
202003,서울 마포구,2,1,56
202003,서울 마포구,2,2,33
202003,서울 마포구,2,3,320
202003,서울 마포구,2,4,104
202003,서울 마포구,2,5,39
202003,서울 양천구,1,0,122
202003,서울 양천구,1,1,83
202003,서울 양천구,1,2,72
202003,서울 양천구,1,3,175
202003,서울 양천구,1,4,105
202003,서울 양천구,1,5,94
202003,서울 양천구,2,0,71
202003,서울 양천구,2,1,84
202003,서울 양천구,2,2,65
202003,서울 양천구,2,3,229
202003,서울 양천구,2,4,144
202003,서울 양천구,2,5,78
202003,서울 강서구,1,0,165
202003,서울 강서구,1,1,86
202003,서울 강서구,1,2,65
202003,서울 강서구,1,3,244
202003,서울 강서구,1,4,151
202003,서울 강서구,1,5,109
202003,서울 강서구,2,0,131
202003,서울 강서구,2,1,77
202003,서울 강서구,2,2,42
202003,서울 강서구,2,3,360
202003,서울 강서구,2,4,160
202003,서울 강서구,2,5,103
202003,서울 구로구,1,0,122
202003,서울 구로구,1,1,64
202003,서울 구로구,1,2,41
202003,서울 구로구,1,3,135
202003,서울 구로구,1,4,47
202003,서울 구로구,1,5,59
202003,서울 구로구,2,0,90
202003,서울 구로구,2,1,49
202003,서울 구로구,2,2,40
202003,서울 구로구,2,3,191
202003,서울 구로구,2,4,97
202003,서울 구로구,2,5,49
202003,서울 금천구,1,0,44
202003,서울 금천구,1,1,23
202003,서울 금천구,1,2,16
202003,서울 금천구,1,3,96
202003,서울 금천구,1,4,46
202003,서울 금천구,1,5,31
202003,서울 금천구,2,0,42
202003,서울 금천구,2,1,24
202003,서울 금천구,2,2,16
202003,서울 금천구,2,3,104
202003,서울 금천구,2,4,56
202003,서울 금천구,2,5,30
202003,서울 영등포구,1,0,118
202003,서울 영등포구,1,1,44
202003,서울 영등포구,1,2,25
202003,서울 영등포구,1,3,161
202003,서울 영등포구,1,4,65
202003,서울 영등포구,1,5,54
202003,서울 영등포구,2,0,144
202003,서울 영등포구,2,1,36
202003,서울 영등포구,2,2,21
202003,서울 영등포구,2,3,209
202003,서울 영등포구,2,4,103
202003,서울 영등포구,2,5,49
202003,서울 동작구,1,0,107
202003,서울 동작구,1,1,49
202003,서울 동작구,1,2,34
202003,서울 동작구,1,3,169
202003,서울 동작구,1,4,65
202003,서울 동작구,1,5,65
202003,서울 동작구,2,0,97
202003,서울 동작구,2,1,51
202003,서울 동작구,2,2,45
202003,서울 동작구,2,3,265
202003,서울 동작구,2,4,89
202003,서울 동작구,2,5,59
202003,서울 관악구,1,0,89
202003,서울 관악구,1,1,57
202003,서울 관악구,1,2,33
202003,서울 관악구,1,3,244
202003,서울 관악구,1,4,71
202003,서울 관악구,1,5,55
202003,서울 관악구,2,0,92
202003,서울 관악구,2,1,47
202003,서울 관악구,2,2,44
202003,서울 관악구,2,3,287
202003,서울 관악구,2,4,96
202003,서울 관악구,2,5,55
202003,서울 서초구,1,0,124
202003,서울 서초구,1,1,66
202003,서울 서초구,1,2,60
202003,서울 서초구,1,3,207
202003,서울 서초구,1,4,117
202003,서울 서초구,1,5,82
202003,서울 서초구,2,0,126
202003,서울 서초구,2,1,75
202003,서울 서초구,2,2,63
